created_at,text
2022-11-20 13:28:56,Die Aktion #KunstFürAlle von @BerlAbendblatt und @BerlinRundfunk unterstützt Künstler*innen &amp; stellt ihre Werke den… https://t.co/94PxwaUGFv
2022-11-17 14:56:21,RT @katjakipping: Aktuell wird viel Unfug über Wirkung von #HartzIV Sanktionen behauptet. Vor Jahren hat der Wissenschaftl.Dienst desBT auf…
2022-11-17 10:55:47,RT @rbb24Inforadio: Die Landesvorsitzende der @dielinkeberlin @Katina_Schubert gibt sich für die Neuwahl im Februar kämpferisch. Sie wirbt…
2022-11-16 16:09:27,@heuteshow Wenn man doch nur einen von den beiden wählen könnte... 🤔🎈 https://t.co/RPpY8TGQ5Q
2022-11-16 13:50:03,RT @katjakipping: Auf geht‘s! #BerlinerLinke
2022-11-16 13:25:49,Jenseits des nun ins Haus stehenden Wahlkampfs müssen wir als Senat weiterhin unsere Arbeit machen und die Berliner… https://t.co/MVz6nAE58x
2022-11-16 13:25:49,"Die Entscheidung nimmt den Senat in die Pflicht, die anstehende Wiederholungswahl verantwortungsvoll vorzubereiten… https://t.co/JMiBSnLH4x"
2022-11-16 13:25:48,"Das Verfassungsgericht hat entschieden, dass die Wahlen zum #Abgeordnetenhaus und zu den Bezirksverordnetenversamml… https://t.co/FKhjuJuF2N"
2022-11-16 08:48:06,"Ich freue mich, dass wir ab Dezember den Eintritt ins Technikmuseum für alle unter 18 Jahren kostenfrei ermöglichen… https://t.co/mZuRWFL8EO"
2022-11-15 15:24:42,"Schließlich konnte der Bund auch den #HamburgerBahnhof im
Zusammenhang damit dauerhaft zurück in öffentliches Eigen… https://t.co/Bk49eZyA09"
2022-11-15 15:24:38,"hart, aber fair, und wie wir jetzt sagen können, erfolgreich verhandelt. Großen Dank auch an Peter Raue und die Fre… https://t.co/D7J3CnzFJY"
2022-11-15 15:24:21,"Dass es anders kam, war ein vierjähriger Prozess, an dem anfangs noch sehr wenige beteiligt waren, schließlich aber… https://t.co/8OveRohgxa"
2022-11-15 15:24:11,"Als einstiges Bahngrundstück vom Bund verkauft, vom Land Berlin mit Baurecht versehen - ein geerbter kulturpolitisc… https://t.co/RdfX8cJvlL"
2022-11-15 15:24:01,"Vergesellschaftung erfolgreich! 😉🎈👍🏽

Einer der bedeutendsten Kulturorte von #Berlin ist gerettet, ich bin sehr glü… https://t.co/mvH0013Vme"
2022-11-15 10:36:50,"Vielen Dank, lieber Daniel Barenboim. für Ihre Hingabe für die Musik – und für Berlin! (4/4)"
2022-11-15 10:36:49,"und für die Bildung des musikalischen Nachwuchses engagiert hat, nötigt allen Respekt ab. Das von ihm gegründete We… https://t.co/FzeHtBppC2"
2022-11-15 10:36:49,und als Künstlerischer Leiter und Generalmusikdirektor der Staatsoper Unter den Linden musikalisch außergewöhnliche… https://t.co/tf8XIyLBWe
2022-11-15 10:36:48,"Ich wünsche Daniel #Barenboim alles Gute zum heutigen 80. Geburtstag!
 
Gleichzeitig als Chefdirigent des Chicago S… https://t.co/4e5d4QqQuR"
2022-11-14 13:14:46,RT @LinksfraktionB: Wir lassen niemanden zurück: Heute beschließen wir im #Agh unser #Entlastungspaket für Berlin! Wir leisten damit konkre…
2022-11-13 14:02:29,Passend dazu @katjakipping heute Abend bei #AnneWill: https://t.co/qIIXtue8wA
2022-11-13 13:51:46,Das von der Ampel im BuTag beschlossene #Bürgergeld ist keine Überwindung von #HartzIV. Nötig sind aus unserer Sich… https://t.co/fKDW9YtryM
2022-11-13 13:11:04,Und natürlich beim @DT_Berlin für die Möglichkeit der inzwischen traditionelle Verleihung in den Kammerspielen und… https://t.co/H6ZkTHL3OT
2022-11-13 13:11:02,"Ich muss mich ebenfalls bedanken bei der engagierten Jury, beim @boev_berlin &amp; für die tolle Zusammenarbeit seit 5… https://t.co/ygLk3t9asQ"
2022-11-13 13:11:01,Der 5.@verlagspreis ist verliehen! Herzlichen Glückwunsch an die Preisträger*innen: der Große Preis für… https://t.co/Y9YtsfxSHB
2022-11-12 20:49:47,"RT @F_Brychcy: Heute war ich zusammen mit @LINKE_SZ&amp; @LinksfraktionB auf der kraftvollen Demo @_umverteilen ✊️❤️🔥, denn der Reichtum in der…"
2022-11-12 16:54:10,"in der alle genug im Kühlschrank und Wärme in ihren Wohnungen haben! Wir brauchen höhere Löhne, Sozialleistungen un… https://t.co/sYNy5GCfZB"
2022-11-12 16:53:59,"Demo des Bündnisses #Umverteilen! am sonnigen Novembersonnabend: Wir wollen ein Ende dieser Politik, die uns auf de… https://t.co/hylQmjXcMd"
2022-11-12 16:46:42,RT @dielinkeberlin: #umverteilenjetzt ✊🏼 https://t.co/lqWOJTI32n
2022-11-12 16:46:30,RT @brunnersandra1: Das Gymnasium am #Europasportpark erhält Unterstützung für akute Renovierungsmaßnahmen und eine Finanzierungszusage für…
2022-11-12 13:16:07,RT @LinksfraktionB: Die rot-grün-rote Koa in #Berlin weitet seine Hilfen in der #Krise nochmal aus. @SeeroiberJenny und @schatzbln erklären…
